WithinSubject	Lecture	Score	BetweenSubject
1	Physical	53	1
2	Physical	49	2
3	Physical	47	3
4	Physical	42	4
5	Physical	51	5
6	Physical	34	6
7	Physical	44	7
8	Physical	48	8
9	Physical	35	9
10	Physical	18	10
11	Physical	32	11
12	Physical	27	12
1	Social	47	13
2	Social	42	14
3	Social	39	15
4	Social	37	16
5	Social	42	17
6	Social	33	18
7	Social	13	19
8	Social	16	20
9	Social	16	21
10	Social	10	22
11	Social	11	23
12	Social	6	24
1	History	45	25
2	History	41	26
3	History	38	27
4	History	36	28
5	History	35	29
6	History	33	30
7	History	46	31
8	History	40	32
9	History	29	33
10	History	21	34
11	History	30	35
12	History	20	36
